crop,market,district,state,price,unit,date,source
Cotton,Rajkot APMC,Rajkot,Gujarat,7250,Quintal,2026-07-25,AGMARKNET Local
Cotton,Surat APMC,Surat,Gujarat,7120,Quintal,2026-07-25,AGMARKNET Local
Wheat,Ludhiana APMC,Ludhiana,Punjab,2450,Quintal,2026-07-25,AGMARKNET Local
Potato,Agra APMC,Agra,Uttar Pradesh,1850,Quintal,2026-07-25,AGMARKNET Local
Tomato,Nashik APMC,Nashik,Maharashtra,3200,Quintal,2026-07-25,AGMARKNET Local
Soybean,Indore Mandi,Indore,Madhya Pradesh,4600,Quintal,2026-07-25,AGMARKNET Local
Groundnut,Junagadh APMC,Junagadh,Gujarat,6400,Quintal,2026-07-25,AGMARKNET Local
Onion,Lasalgaon APMC,Nashik,Maharashtra,2100,Quintal,2026-07-25,AGMARKNET Local
Maize,Davangere APMC,Davangere,Karnataka,2200,Quintal,2026-07-25,AGMARKNET Local
Rice,Karnal Grain Market,Karnal,Haryana,3850,Quintal,2026-07-25,AGMARKNET Local
